name,maxplayers,minage,minplayers,minplaytime,playtime,yearpublished,category,mechanic,publisher,average,weightaverage,numberofweights,owned,position,usersrated,langdep,suggested1player,suggested2player,suggested3player,suggested4player,suggested5player,suggested6player,suggested7player,suggested8player,suggested9player,suggested10player,suggestedOver10player,suggestedPlayerAge
"Cosmic Encounter",6,12,2,90,90,1977,"Bluffing,Negotiation,Science Fiction","Hand Management,Variable Player Powers","Alga,ASS Altenburger Spielkarten,Descartes Editeur,Eon,Games Workshop Ltd.,Grow Jogos e Brinquedos,Tsukuda Hobby / Original,West End Games",6.9347,2.3708,418,3991,702,3629,Moderate,NotRecommended,NotRecommended,NotRecommended,Best,Best,Recommended,null,null,null,null,NotRecommended,12
"MarraCash",4,12,3,60,60,1996,"Economic","Auction/Bidding","KOSMOS",6.84341,2.1538,91,1027,1505,877,No,NotRecommended,NotRecommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,10
"Button Men",2,10,2,5,5,1999,"Collectible Components,Dice,Fighting,Print & Play","Dice Rolling,Press Your Luck","(Unknown),Atlas Games,Cheapass Games,Five Rings Publishing Group,Guardians of Order,Looney Labs,Studio Foglio,Truant Spiele",6.3087,1.5493,71,1123,2774,724,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,8
"RoboRally",8,12,2,45,120,1994,"Miniatures,Racing,Science Fiction","Action / Movement Programming,Grid Movement,Modular Board,Simultaneous Action Selection","999 Games,AMIGO Spiel + Freizeit GmbH,Avalon Hill (Hasbro),Hasbro,Play Factory,Wizards of the Coast",7.15355,2.434,1659,22500,293,19371,Moderate,NotRecommended,NotRecommended,Recommended,Recommended,Best,Best,Recommended,Recommended,null,null,NotRecommended,10
"Wacky Wacky West",4,9,2,30,45,1991,"American West,Bluffing,City Building","Tile Placement,Voting","Hans im Glück Verlags-GmbH,Mayfair Games",6.31166,1.8467,150,2402,2039,1459,Some,NotRecommended,NotRecommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,8
"Full Metal Planète",4,12,2,90,90,1988,"Science Fiction","Action Point Allowance System","Ludodélire",7.43592,3.1636,55,794,1335,602,No,NotRecommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,10
"Magic Realm",16,12,1,240,240,1979,"Adventure,Exploration,Fantasy","Action / Movement Programming,Modular Board,Rock-Paper-Scissors,Role Playing,Simultaneous Action Selection,Variable Player Powers","(Self-Published),Avalon Hill",7.14384,4.4985,339,3197,833,1709,Moderate,Recommended,Recommended,Best,Best,Recommended,Recommended,Recommended,Recommended,NotRecommended,NotRecommended,NotRecommended,12
"Divine Right",6,12,2,360,360,1979,"Fantasy,Political,Wargame","Dice Rolling,Hex-and-Counter,Variable Phase Order","Right Stuf,TSR",6.95654,3.1324,68,922,2192,483,Moderate,NotRecommended,NotRecommended,Recommended,Best,Best,Best,null,null,null,null,NotRecommended,12
"Twilight Imperium",6,12,2,240,240,1997,"Civilization,Negotiation,Political,Science Fiction,Space Exploration,Wargame","Dice Rolling,Hex-and-Counter,Modular Board,Tile Placement,Variable Player Powers,Voting","Fantasy Flight Games",6.66812,3.4902,51,789,2174,667,null,null,NotRecommended,NotRecommended,Best,Recommended,Recommended,null,null,null,null,null,null
"Battlemist",6,12,2,200,200,1998,"Exploration,Fantasy,Wargame","null","Fantasy Flight Games",5.93231,3.2105,19,622,5930,308,null,NotRecommended,NotRecommended,Recommended,Recommended,Recommended,NotRecommended,null,null,null,null,NotRecommended,12
"Age of Renaissance",6,12,3,360,360,1996,"Civilization,Economic,Medieval,Renaissance","Area Movement,Auction/Bidding","Avalon Hill,Descartes Editeur",7.0993,3.8511,262,2491,773,1944,Extensive,NotRecommended,NotRecommended,NotRecommended,Recommended,Best,Best,null,null,null,null,NotRecommended,14
"Supremacy",6,12,2,340,340,1984,"Economic,Political,Wargame","Commodity Speculation,Dice Rolling","Descartes Editeur,Grow Jogos e Brinquedos,Supremacy Games",5.57724,3.1404,114,1941,11612,1201,Some,NotRecommended,NotRecommended,Recommended,Best,Best,Best,null,null,null,null,NotRecommended,16
"Illuminati:  Deluxe Edition",8,12,2,60,180,1987,"Card Game,Humor,Negotiation,Political","Card Drafting,Dice Rolling,Route/Network Building,Tile Placement,Variable Player Powers","Descartes Editeur,Devir,Edge Entertainment,Finnish Game House,Laurin Verlag,Pegasus Spiele,Queen Games,Raven Distribution,Steve Jackson Games,Ubik",6.5289,2.6489,413,7170,1215,4274,Extensive,NotRecommended,NotRecommended,Recommended,Best,Recommended,Recommended,NotRecommended,NotRecommended,null,null,NotRecommended,12
"Dark Tower",4,10,1,90,90,1981,"Adventure,Electronic,Exploration,Fantasy,Fighting","Area Movement,Press Your Luck","Milton Bradley",6.6435,1.8182,88,1276,1988,1052,No,NotRecommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,8
"Dark World",5,10,2,90,90,1992,"Adventure,Exploration,Fantasy,Fighting,Miniatures","Dice Rolling,Grid Movement","AS Company,Canada Games,Crown & Andrews Ltd.,Diset S. A.,Kod Kod,Mattel,Schmidt France,Schmidt Spiele,Selecta Spel en Hobby,Waddington's Games, Inc.",5.18525,1.9592,49,1427,13438,590,No,NotRecommended,Recommended,Recommended,Recommended,Best,null,null,null,null,null,NotRecommended,8
"Bison",2,8,2,30,30,1975,"Abstract Strategy,American West","null","Action GT,BHS Games,Lakeside,Pelikan,Piatnik,Schmidt Spiele,Venice Connection,Winning Moves France",6.04137,1.6471,17,376,6217,182,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,6
"Arkham Horror",8,12,1,180,180,1987,"Adventure,Horror,Novel-based","Co-operative Play","Chaosium,Descartes Editeur,Hobby Japan",6.56386,2.3111,45,721,2980,453,Extensive,Recommended,Recommended,Recommended,Best,Recommended,NotRecommended,NotRecommended,NotRecommended,null,null,NotRecommended,12
"Federation & Empire",8,12,2,300,300,1986,"Science Fiction,Wargame","Hex-and-Counter","Amarillo Design Bureau, Inc.,Task Force Games",6.23239,4.4098,61,914,4123,355,Extensive,NotRecommended,Best,Recommended,Recommended,Recommended,Best,Recommended,Best,null,null,NotRecommended,12
"Dragon Masters",4,12,2,120,120,1991,"Fantasy,Wargame","null","Games Workshop Ltd.",5.69731,2.1,10,324,9944,130,null,null,null,null,null,null,null,null,null,null,null,null,8
"Borderlands",4,12,2,120,120,1982,"Bluffing,Civilization,Fantasy,Negotiation,Political","Area Movement,Trading","Edition Spielkunst,Eon,Tsukuda Hobby / Original,Welt der Spiele",6.77517,2.7727,22,507,3359,254,Some,NotRecommended,NotRecommended,Recommended,Best,null,null,null,null,null,null,Recommended,12
"Can't Stop",4,9,2,30,30,1980,"Dice","Dice Rolling,Press Your Luck","Asmodee,Borras Plana S.A.,Clipper,Eagle-Gryphon Games,Editrice Giochi,Face2Face Games,franjos Spieleverlag,Miro Company,New Games Order, LLC,Palitoy Ltd.,Parker Brothers,Ravensburger Spieleverlag GmbH",6.85659,1.1683,802,8448,567,9095,No,NotRecommended,Recommended,Best,Recommended,null,null,null,null,null,null,NotRecommended,6
"Tigris & Euphrates",4,12,2,90,90,1997,"Abstract Strategy,Ancient,Civilization,Territory Building","Area Control / Area Influence,Hand Management,Set Collection,Tile Placement","Hans im Glück Verlags-GmbH,999 Games,Devir,Edge Entertainment,Fantasy Flight Games,Giochi Uniti,Heidelberger Spieleverlag,Lacerta,Matagot,Mayfair Games,Pegasus Spiele,Smart Ltd,Top Licence Games,Wargames Club Publishing",7.72379,3.5309,2441,21988,57,20166,No,NotRecommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,12
"Airlines",6,12,2,90,90,1990,"Aviation / Flight,Economic","Route/Network Building,Stock Holding","ABACUSSPIELE",6.61065,2.4062,32,447,3012,346,No,NotRecommended,NotRecommended,NotRecommended,Best,Recommended,Recommended,null,null,null,null,NotRecommended,12
"David & Goliath",6,8,3,60,60,1998,"Card Game","Trick-taking","Berliner Spielkarten,Pegasus Spiele,Playroom Entertainment,Wargames Club Publishing",6.4529,1.6229,175,1729,1714,1418,No,NotRecommended,NotRecommended,Recommended,Best,Recommended,Recommended,null,null,null,null,NotRecommended,8
"Medici",6,10,2,60,60,1995,"Renaissance","Auction/Bidding,Set Collection","ABACUSSPIELE,AMIGO Spiel + Freizeit GmbH,Asmodee,Grail Games,Lui-même,Rio Grande Games",7.1502,2.2805,549,5811,405,5702,No,NotRecommended,NotRecommended,NotRecommended,Recommended,Best,Best,null,null,null,null,NotRecommended,10
"Chinatown",5,12,3,60,60,1999,"City Building,Economic,Negotiation","Set Collection,Tile Placement,Trading","alea,Ravensburger Spieleverlag GmbH,Competo / Marektoy,Filosofia Éditions,Heidelberger Spieleverlag,Quined White Goblin Games,Z-Man Games",7.23234,2.2968,438,6924,341,5846,No,NotRecommended,NotRecommended,NotRecommended,Recommended,Best,null,null,null,null,null,NotRecommended,10
"Krieg und Frieden",4,12,2,90,90,1999,"Medieval,Political","Auction/Bidding","999 Games,La Tana dei Goblin,TM Spiele",6.13737,2.4627,67,1240,3258,646,No,NotRecommended,NotRecommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,12
"Lost Cities",2,10,2,30,30,1999,"Card Game,Exploration","Hand Management,Set Collection","999 Games,Albi,Competo / Marektoy,Devir,Filosofia Éditions,Galakta,Kaissa Chess & Games,Korea Boardgames co., Ltd.,KOSMOS,Laser plus,Midgaard Games,Piatnik,Playhouse Ltd,Rio Grande Games,Stupor Mundi,Swan Panasia Co., Ltd.,Tilsit,Zvezda",7.14784,1.5156,2636,34371,275,26686,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,8
"Ricochet Robots",15,10,1,30,30,1999,"Abstract Strategy,Maze,Puzzle,Real-time","Grid Movement,Modular Board","ABACUSSPIELE,Devir,Gém Klub Kft.,Hans im Glück Verlags-GmbH,Korea Boardgames co., Ltd.,Oya,Playgo Hungary,Rio Grande Games,Swan Panasia Co., Ltd.,Z-Man Games",6.99357,2.4471,454,6238,528,6278,No,Recommended,Recommended,Recommended,Best,Best,Best,Recommended,Recommended,Recommended,Recommended,Recommended,10
"Mighty Empires",3,14,2,300,300,1990,"Fantasy,Territory Building,Wargame","null","Games Workshop Ltd.",6.08468,2.5952,42,816,4617,449,Some,NotRecommended,Recommended,Best,null,null,null,null,null,null,null,Best,12
"Tikal",4,13,2,90,90,1999,"Exploration,Territory Building","Action Point Allowance System,Area Control / Area Influence,Auction/Bidding,Grid Movement,Set Collection,Tile Placement","Ravensburger Spieleverlag GmbH,Rio Grande Games,dV Giochi,Egmont Polska,Gém Klub Kft.,Kellogg's,Maldito Games,Super Meeple",7.34313,2.834,1349,16305,188,13674,No,NotRecommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,10
"Schoko & Co.",4,13,2,180,180,1987,"Economic","Auction/Bidding,Commodity Speculation","Schmidt Spiele",6.6678,2.9333,45,727,2810,371,Some,NotRecommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,12
"Kings & Things",4,12,2,120,120,1986,"Bluffing,Exploration,Fantasy,Territory Building,Wargame","Area Control / Area Influence,Area Movement,Hex-and-Counter,Modular Board,Secret Unit Deployment","Games Workshop Ltd.,Hobby Japan,Pegasus Spiele,West End Games,Z-Man Games",6.53692,2.6561,157,2962,1608,1477,Moderate,NotRecommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,10
"Giganten",4,10,3,90,90,1999,"Economic,Exploration,Industry / Manufacturing","Auction/Bidding,Commodity Speculation","KOSMOS",6.75663,2.5714,133,1669,1301,1294,No,NotRecommended,NotRecommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,10
"Vinci",6,14,3,90,90,1999,"Ancient,Civilization,Territory Building","Area Control / Area Influence,Area Movement,Variable Player Powers","Descartes Editeur",7.13097,2.7829,433,3426,514,3712,Some,NotRecommended,NotRecommended,Recommended,Best,Recommended,NotRecommended,null,null,null,null,NotRecommended,12
"Fossil",6,10,2,40,40,1998,"Ancient","Set Collection","Goldsieber Spiele,Rio Grande Games",5.41618,1.74,50,869,12471,617,No,NotRecommended,Best,Best,Recommended,Recommended,NotRecommended,null,null,null,null,NotRecommended,null
"Curse of the Mummy's Tomb",4,12,1,120,120,1988,"Adventure,Ancient,Horror","Action / Movement Programming","Games Workshop Ltd.,Sfera",5.22768,1.913,23,530,13063,298,null,NotRecommended,NotRecommended,Best,Best,null,null,null,null,null,null,NotRecommended,null
"Samurai",8,12,2,180,180,1979,"Political,Wargame","Area Movement","Avalon Hill,Battleline",6.38198,2.5769,52,945,3534,369,Some,NotRecommended,NotRecommended,Recommended,Best,NotRecommended,null,null,null,null,null,null,10
"Joan of Arc",6,12,3,180,180,1998,"Card Game,Medieval,Political,Wargame","null","Clash of Arms Games,Tilsit,Truant Spiele",6.26579,2.5424,59,670,3620,409,Some,NotRecommended,NotRecommended,NotRecommended,Best,Recommended,Recommended,null,null,null,null,NotRecommended,12
"Löwenherz",4,12,2,90,90,1997,"Medieval,Political","Area Control / Area Influence,Auction/Bidding,Modular Board","Goldsieber Spiele,Rio Grande Games",7.08413,2.9305,259,2989,690,2193,Some,NotRecommended,NotRecommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,12
"Conquest",4,10,2,120,120,1974,"Abstract Strategy,Ancient,Wargame","Action Point Allowance System,Point to Point Movement","(Self-Published),Bütehorn Spiele,Hexagames (I),Numbskull Games,Quest Games",6.27156,2.5161,31,696,3868,333,No,NotRecommended,Best,NotRecommended,Best,null,null,null,null,null,null,NotRecommended,12
"Successors (second edition)",4,12,2,180,180,1997,"Ancient,Wargame","Campaign / Battle Card Driven,Point to Point Movement","Avalon Hill,Wydawnictwo Gobiewski",7.02629,3.1905,63,778,2124,439,Extensive,NotRecommended,NotRecommended,Recommended,Best,null,null,null,null,null,null,Recommended,12
"Big City",5,10,2,60,60,1999,"City Building","Hand Management,Modular Board,Tile Placement","999 Games,Goldsieber Spiele,Rio Grande Games",6.9039,2.2183,252,2237,869,2164,No,NotRecommended,Recommended,Best,Recommended,NotRecommended,null,null,null,null,null,NotRecommended,10
"Civilization",7,12,2,360,360,1980,"Ancient,Civilization,Economic,Negotiation","Area Control / Area Influence,Area Movement,Hand Management,Set Collection,Trading","Avalon Hill,ACE Pelit Oy,Compendium Games,Descartes Editeur,Gibsons Games,Hartland Trefoil Ltd.,Joc Internacional,Piatnik,Spiel & Kunst,Welt der Spiele",7.52258,3.6667,705,8311,185,6178,Some,NotRecommended,NotRecommended,NotRecommended,Recommended,Recommended,Recommended,Best,null,null,null,NotRecommended,12
"Verräter",4,12,3,60,60,1998,"Card Game,Political","Card Drafting,Hand Management,Modular Board,Partnerships,Variable Player Powers","Adlung-Spiele,New Games Order, LLC",6.74051,2.5955,178,3647,1168,1709,No,NotRecommended,NotRecommended,NotRecommended,Best,null,null,null,null,null,null,NotRecommended,8
"Show Manager",6,10,2,60,60,1996,"Card Game","Card Drafting,Set Collection","Queen Games,db-Spiele",7.06054,2.1019,157,1627,901,1474,No,NotRecommended,NotRecommended,Recommended,Recommended,Best,Best,null,null,null,null,NotRecommended,10
"Apples to Apples",10,12,4,30,30,1999,"Card Game,Humor,Party Game","Hand Management,Simultaneous Action Selection,Voting","Beverly Enterprises, Inc.,Excalibur Electronics,Holiday Games,Mattel,Out of the Box Publishing,Pegasus Spiele,Tactic",5.95458,1.1686,1382,19570,2640,14611,Extensive,NotRecommended,NotRecommended,NotRecommended,Recommended,Recommended,Best,Best,Best,Recommended,Recommended,Recommended,8
"Falling",8,8,4,5,5,1998,"Card Game,Fantasy,Print & Play,Real-time","Hand Management","Cheapass Games,Paizo Publishing,Portal Games,Titanic Games",5.49601,1.2266,128,2141,12152,1264,Some,NotRecommended,NotRecommended,NotRecommended,Recommended,Recommended,Best,Best,Recommended,null,null,Recommended,6
"Air Baron",6,10,2,120,120,1996,"Aviation / Flight,Economic,Territory Building","Area Control / Area Influence,Chit-Pull System,Dice Rolling","Avalon Hill",6.38664,2.5618,89,896,2626,716,No,NotRecommended,NotRecommended,Recommended,Recommended,Best,Recommended,null,null,null,null,NotRecommended,12
"EastFront",2,12,2,240,240,1991,"Wargame,World War II","Dice Rolling,Secret Unit Deployment,Simulation","Columbia Games",7.6713,3.618,89,1029,1111,626,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,12
"WestFront",2,12,2,240,240,1992,"Wargame,World War II","Dice Rolling,Secret Unit Deployment","Columbia Games",6.89085,3.5,34,492,3736,177,null,Recommended,Best,null,null,null,null,null,null,null,null,NotRecommended,12
"Bobby Lee",2,12,2,240,240,1993,"American Civil War,Wargame","Dice Rolling,Secret Unit Deployment","Columbia Games",6.83287,2.9111,45,777,2928,297,Some,NotRecommended,Best,null,null,null,null,null,null,null,null,null,14
"Sam Grant",2,12,2,180,180,1997,"American Civil War,Wargame","Secret Unit Deployment","Columbia Games",6.43277,2.88,25,387,5592,119,null,NotRecommended,Best,null,null,null,null,null,null,null,null,Best,16
"Rommel in the Desert",2,12,2,150,150,1982,"Wargame,World War II","Dice Rolling,Secret Unit Deployment","Columbia Games,Game Preserve",7.54068,3.4069,145,1829,878,878,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,14
"Quebec 1759",2,12,2,60,60,1972,"Age of Reason,Wargame","Dice Rolling,Point to Point Movement,Secret Unit Deployment","Columbia Games,Gamma Two Games",6.93157,2.1341,82,1105,1797,616,No,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,10
"Victory:  The Blocks of War",6,12,2,180,180,1998,"Wargame,World War II","Dice Rolling,Hex-and-Counter,Secret Unit Deployment","Columbia Games,Tilsit",6.3167,2.6154,52,758,3397,402,null,NotRecommended,Best,Recommended,Recommended,NotRecommended,NotRecommended,null,null,null,null,NotRecommended,14
"Torres",4,12,2,60,60,1999,"Abstract Strategy,Medieval","Action Point Allowance System,Area Control / Area Influence,Area Enclosure,Grid Movement,Hand Management,Tile Placement","ABACUSSPIELE,F.X. Schmid,HUCH! & friends,IDW Games,Ravensburger Spieleverlag GmbH,Rio Grande Games,Tilsit",7.17624,2.8845,779,8393,364,6980,No,NotRecommended,Recommended,Recommended,Best,null,null,null,null,null,null,NotRecommended,10
"Blue vs. Gray",4,12,2,120,120,1999,"American Civil War,Card Game,Dice,Wargame","Dice Rolling,Hand Management","GMT Games,QED Games",6.76958,2.8333,60,1006,2542,408,Moderate,Recommended,Best,NotRecommended,NotRecommended,null,null,null,null,null,null,NotRecommended,null
"Star Wars: Episode 1 – Clash of the Lightsabers",2,8,2,20,20,1999,"Card Game,Movies / TV / Radio theme,Science Fiction","Hand Management","Hasbro,Milton Bradley",6.29314,1.4237,59,941,3020,531,Moderate,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,6
"Paths of Glory",2,14,2,480,480,1999,"Wargame,World War I","Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement","Devir,GMT Games,Udo Grebe Gamedesign,Wargames Club Publishing,Wydawnictwo Gobiewski",8.02578,3.8057,561,6585,83,3596,Extensive,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,14
"Union Pacific",6,12,2,90,90,1999,"Economic,Trains","Card Drafting,Route/Network Building,Stock Holding","999 Games,AMIGO Spiel + Freizeit GmbH,Rio Grande Games",7.24855,2.55,460,3925,401,3932,No,NotRecommended,NotRecommended,Recommended,Best,Best,Recommended,null,null,null,null,NotRecommended,10
"Igel Ärgern",6,8,2,30,30,1990,"Animals,Children's Game,Dice,Racing","Roll / Spin and Move","Doris & Frank,University Games",6.41002,1.3833,120,1002,2125,960,No,NotRecommended,Recommended,Recommended,Recommended,Recommended,Recommended,null,null,null,null,NotRecommended,6
"Broadsides and Boarding Parties",2,10,2,60,60,1982,"Nautical,Pirates,Wargame","Action / Movement Programming,Dice Rolling,Hand Management,Point to Point Movement","Citadel Game Systems,Milton Bradley",6.13295,1.8182,44,842,3922,495,null,NotRecommended,Best,null,null,null,null,null,null,null,null,NotRecommended,8
"Conquest of the Empire",6,10,2,180,180,1984,"Ancient,Economic,Wargame","Area Movement,Dice Rolling","Milton Bradley",6.26548,2.5132,76,1479,2837,906,Some,NotRecommended,NotRecommended,Recommended,Best,Best,Best,null,null,null,null,NotRecommended,12
"Axis & Allies",5,12,2,180,180,1981,"Economic,Wargame,World War II","Area Movement,Dice Rolling,Partnerships","Jedko Games,Milton Bradley,Nova Game Designs,PewterCraft",6.53855,3.0345,899,11650,1133,8747,Some,NotRecommended,Best,Recommended,Recommended,Best,null,null,null,null,null,NotRecommended,12
"Fortress America",4,12,2,180,180,1986,"Science Fiction,Wargame","Area Movement,Dice Rolling","Milton Bradley",6.6939,2.6352,233,3223,1186,2144,Some,NotRecommended,Best,Recommended,Best,null,null,null,null,null,null,NotRecommended,12
"Detroit-Cleveland Grand Prix",6,8,2,60,60,1996,"Card Game,Racing","Auction/Bidding","Mayfair Games",6.7734,1.6972,109,1256,1484,1023,No,NotRecommended,Recommended,Best,Recommended,Recommended,Best,null,null,null,null,NotRecommended,8
"Klunker",5,10,3,30,30,1999,"Card Game","Set Collection","Hans im Glück Verlags-GmbH,Lookout Games,Rio Grande Games",6.20877,1.7738,84,1329,2788,800,No,NotRecommended,NotRecommended,Recommended,Best,Best,null,null,null,null,null,NotRecommended,12
"Titan",6,12,2,30,240,1980,"Fantasy,Fighting","Dice Rolling,Player Elimination,Roll / Spin and Move,Secret Unit Deployment,Set Collection","Avalon Hill,Gorgonstar Publications,Heidelberger Spieleverlag,Valley Games, Inc.",6.96153,3.4561,410,5001,696,3570,No,NotRecommended,Best,Recommended,Best,Recommended,Recommended,null,null,null,null,NotRecommended,12
"Extrablatt",4,14,3,90,90,1991,"Territory Building","Area Control / Area Influence,Set Collection,Simulation,Tile Placement","Moskito Spiele",7.04646,2.9,30,330,2833,246,No,NotRecommended,NotRecommended,Best,Best,null,null,null,null,null,null,NotRecommended,12
"Colossal Arena",5,8,2,60,60,1997,"Card Game,Fantasy,Mythology","Betting/Wagering,Hand Management","Altar Games,Avalon Hill,Delta Vision Publishing,Edge Entertainment,Fantasy Flight Games,Hobby Japan,Korea Boardgames co., Ltd.,Lautapelit.fi,Midgaard Games,Nexus,Swan Panasia Co., Ltd.,Ubik",6.79949,2.0182,715,7697,672,6292,Some,NotRecommended,Recommended,Best,Recommended,Recommended,null,null,null,null,null,NotRecommended,10
"Mystery Rummy: Jack the Ripper",4,10,2,45,45,1998,"Card Game,Murder/Mystery","Hand Management,Set Collection,Voting","Eagle-Gryphon Games,Edge Entertainment,Kaissa Chess & Games,Pegasus Spiele,U.S. Games Systems, Inc.",6.97858,1.7357,280,4836,700,2895,Moderate,NotRecommended,Best,Recommended,Recommended,null,null,null,null,null,null,NotRecommended,8
